Day,Scenario,Method,QualityScore,Parameters
4,UrbanLarge,OSC,20.54661986992772,"{'transport_cost': 53.24525184676106, 'labor_cost': 226.707758701812, 'project_duration': 33.0285476418235, 'material_cost': 71.94926764686525, 'carbon_emission': 56.09024975501344, 'quality_index': 3.5102787729166245}"
4,UrbanLarge,Traditional,3.5286387492639286,"{'transport_cost': 263.1702726902897, 'labor_cost': 322.8400190530722, 'project_duration': 38.7642015863195, 'material_cost': 293.1829716896193, 'carbon_emission': 244.4464716946839, 'quality_index': 2.1864107694998074}"
4,SuburbanSmall,OSC,41.01363772896467,"{'transport_cost': 294.08635481303384, 'labor_cost': 180.48318825622977, 'project_duration': 43.706780903051346, 'material_cost': 218.73087983846943, 'carbon_emission': 99.27842637993729, 'quality_index': 6.995371690467141}"
4,SuburbanSmall,Traditional,16.876079222678015,"{'transport_cost': 135.38620410883135, 'labor_cost': 159.98823658512623, 'project_duration': 35.98013103422156, 'material_cost': 646.2538454026972, 'carbon_emission': 225.06052779448373, 'quality_index': 6.58481223045132}"
5,UrbanLarge,OSC,44.7533512203902,"{'transport_cost': 156.66000723990857, 'labor_cost': 155.9818620888481, 'project_duration': 117.52944026535023, 'material_cost': 86.134056071977, 'carbon_emission': 59.52377179798259, 'quality_index': 7.552803449385657}"
5,UrbanLarge,Traditional,6.697965327565067,"{'transport_cost': 54.8273278723952, 'labor_cost': 263.598630460924, 'project_duration': 111.4484228148237, 'material_cost': 251.5013712302879, 'carbon_emission': 133.0375548342069, 'quality_index': 2.80276414298318}"
5,SuburbanSmall,OSC,40.08742579719418,"{'transport_cost': 199.14167092260251, 'labor_cost': 257.9585388392585, 'project_duration': 63.1694323923635, 'material_cost': 106.76800419460487, 'carbon_emission': 99.48998126404378, 'quality_index': 6.826797974358675}"
5,SuburbanSmall,Traditional,20.60352670781046,"{'transport_cost': 154.41751247186141, 'labor_cost': 252.37116402338654, 'project_duration': 63.35514227504951, 'material_cost': 486.14512919295686, 'carbon_emission': 297.4199592742385, 'quality_index': 8.057671834781662}"
6,UrbanLarge,OSC,52.332427736971056,"{'transport_cost': 155.74788046640015, 'labor_cost': 219.97000843544566, 'project_duration': 104.597882864589, 'material_cost': 136.46541533942735, 'carbon_emission': 41.03065852050331, 'quality_index': 8.813172760955737}"
6,UrbanLarge,Traditional,13.023064873709592,"{'transport_cost': 284.47704481043695, 'labor_cost': 280.5105624748104, 'project_duration': 104.0932530048876, 'material_cost': 178.25223947379334, 'carbon_emission': 161.36472832722035, 'quality_index': 5.044068462718163}"
6,SuburbanSmall,OSC,50.775962167085474,"{'transport_cost': 176.55869368680868, 'labor_cost': 280.992799566337, 'project_duration': 57.59170571732356, 'material_cost': 385.75649798418914, 'carbon_emission': 89.17902394299654, 'quality_index': 8.630677102382002}"
6,SuburbanSmall,Traditional,21.19257130608352,"{'transport_cost': 211.72874174776538, 'labor_cost': 154.12744674860065, 'project_duration': 86.41941246574461, 'material_cost': 284.7148420114645, 'carbon_emission': 276.17295353175064, 'quality_index': 8.129338287246526}"
7,UrbanLarge,OSC,15.627769151094494,"{'transport_cost': 82.52485435144575, 'labor_cost': 160.50096833010716, 'project_duration': 116.60702693978558, 'material_cost': 104.96614949172286, 'carbon_emission': 67.42235526449105, 'quality_index': 2.6994792625887447}"
7,UrbanLarge,Traditional,15.067364575634109,"{'transport_cost': 138.86141583186998, 'labor_cost': 351.7530486337029, 'project_duration': 45.08331318135312, 'material_cost': 334.85889962821057, 'carbon_emission': 263.4890240268276, 'quality_index': 6.084190130654969}"
7,SuburbanSmall,OSC,48.803587412626875,"{'transport_cost': 211.53615375390996, 'labor_cost': 193.25681805032377, 'project_duration': 91.560983455668, 'material_cost': 109.56921419997994, 'carbon_emission': 74.34962062154193, 'quality_index': 8.2530406066229}"
7,SuburbanSmall,Traditional,4.34612468090519,"{'transport_cost': 187.28041589873413, 'labor_cost': 288.2846843004306, 'project_duration': 80.14450549232537, 'material_cost': 619.2062173337174, 'carbon_emission': 180.41497876482595, 'quality_index': 2.2933740045251234}"
8,UrbanLarge,OSC,38.13334848601104,"{'transport_cost': 135.18655825704386, 'labor_cost': 261.6010679381732, 'project_duration': 114.37144827594524, 'material_cost': 87.47562154393654, 'carbon_emission': 51.65207318326176, 'quality_index': 6.452408502847796}"
8,UrbanLarge,Traditional,15.38934809088237,"{'transport_cost': 215.2512847166594, 'labor_cost': 201.44014993245682, 'project_duration': 80.99337225480893, 'material_cost': 150.24175713205233, 'carbon_emission': 292.3859641432023, 'quality_index': 6.23038773116728}"
8,SuburbanSmall,OSC,53.520254391093104,"{'transport_cost': 170.16713942362153, 'labor_cost': 261.5502989831377, 'project_duration': 44.91703663249602, 'material_cost': 159.15360527157088, 'carbon_emission': 51.42824515800258, 'quality_index': 9.028551607667001}"
8,SuburbanSmall,Traditional,21.120599742731798,"{'transport_cost': 270.2272174080048, 'labor_cost': 242.46412765453334, 'project_duration': 107.34425909944866, 'material_cost': 236.2491956491536, 'carbon_emission': 303.44821772849207, 'quality_index': 8.218125204608171}"
9,UrbanLarge,OSC,33.83833454824916,"{'transport_cost': 294.5817896084636, 'labor_cost': 324.99373078235396, 'project_duration': 101.09800631751942, 'material_cost': 124.14089528868713, 'carbon_emission': 15.415757100443948, 'quality_index': 5.735204046256285}"
9,UrbanLarge,Traditional,17.227996768829406,"{'transport_cost': 241.1502367146207, 'labor_cost': 190.00986132966614, 'project_duration': 55.09621451592635, 'material_cost': 528.9091886646625, 'carbon_emission': 262.6224087929221, 'quality_index': 6.8314223492993085}"
9,SuburbanSmall,OSC,25.701403315785186,"{'transport_cost': 147.25368660029105, 'labor_cost': 291.9053544497243, 'project_duration': 43.601124560326745, 'material_cost': 225.48086045523092, 'carbon_emission': 39.22586706009795, 'quality_index': 4.39010431979264}"
9,SuburbanSmall,Traditional,16.392440251348233,"{'transport_cost': 114.78193694153106, 'labor_cost': 152.89415620904606, 'project_duration': 114.32165280311831, 'material_cost': 355.16456283709016, 'carbon_emission': 311.9959145774303, 'quality_index': 6.642542167038105}"
10,UrbanLarge,OSC,19.470021725818544,"{'transport_cost': 282.8474270454912, 'labor_cost': 275.28589605477845, 'project_duration': 90.04916915080051, 'material_cost': 211.5185092722387, 'carbon_emission': 68.92545825419798, 'quality_index': 3.3879583731118674}"
10,UrbanLarge,Traditional,6.800063984106345,"{'transport_cost': 252.53738934507643, 'labor_cost': 171.15367142193878, 'project_duration': 94.82547995511298, 'material_cost': 495.5769123399549, 'carbon_emission': 114.49627910031208, 'quality_index': 2.8526240301713703}"
10,SuburbanSmall,OSC,33.24778251397469,"{'transport_cost': 159.69389471503973, 'labor_cost': 193.05415863905722, 'project_duration': 63.744769736171214, 'material_cost': 131.34594226705923, 'carbon_emission': 27.763303580363406, 'quality_index': 5.618221393715102}"
10,SuburbanSmall,Traditional,16.275451203321285,"{'transport_cost': 235.4121374484795, 'labor_cost': 361.86284516440287, 'project_duration': 111.98966567719488, 'material_cost': 291.22988724373613, 'carbon_emission': 290.5283200082773, 'quality_index': 6.591023661102824}"
11,UrbanLarge,OSC,37.03184615918561,"{'transport_cost': 250.35149779253854, 'labor_cost': 236.02542264134425, 'project_duration': 63.18090369805458, 'material_cost': 147.28050331696846, 'carbon_emission': 48.956483258971005, 'quality_index': 6.283177809663505}"
11,UrbanLarge,Traditional,27.967758320820394,"{'transport_cost': 151.9851066063942, 'labor_cost': 359.9284421728372, 'project_duration': 43.394883370377386, 'material_cost': 170.56327944562517, 'carbon_emission': 150.49254626110957, 'quality_index': 9.975889445193799}"
11,SuburbanSmall,OSC,21.328667559325233,"{'transport_cost': 196.69796509264356, 'labor_cost': 337.1803457527859, 'project_duration': 64.92544212873815, 'material_cost': 179.2718613744719, 'carbon_emission': 53.15132712080136, 'quality_index': 3.6783096071793064}"
11,SuburbanSmall,Traditional,23.431780139910604,"{'transport_cost': 175.51022905431876, 'labor_cost': 161.98167506215904, 'project_duration': 104.94841893061624, 'material_cost': 300.83596207942, 'carbon_emission': 172.97115305712578, 'quality_index': 8.529014527093041}"
12,UrbanLarge,OSC,14.49970204304999,"{'transport_cost': 292.74894302147334, 'labor_cost': 178.9881356975481, 'project_duration': 78.4492801257925, 'material_cost': 230.00139032249336, 'carbon_emission': 54.79323053124644, 'quality_index': 2.5402489736223166}"
12,UrbanLarge,Traditional,16.55651664247776,"{'transport_cost': 134.1853365690244, 'labor_cost': 323.9068497260931, 'project_duration': 96.20653481463566, 'material_cost': 440.42354841189797, 'carbon_emission': 147.927525364595, 'quality_index': 6.211600795309462}"
12,SuburbanSmall,OSC,25.93667769061176,"{'transport_cost': 58.19453725537131, 'labor_cost': 178.41197255147028, 'project_duration': 74.9178121685888, 'material_cost': 111.34327138556631, 'carbon_emission': 61.37931389125383, 'quality_index': 4.412590130143828}"
12,SuburbanSmall,Traditional,4.330250398252131,"{'transport_cost': 71.61756274146592, 'labor_cost': 183.77141479724898, 'project_duration': 45.923660991174835, 'material_cost': 428.26601773198604, 'carbon_emission': 252.0262946667954, 'quality_index': 2.435427780589073}"
13,UrbanLarge,OSC,22.882089293178147,"{'transport_cost': 165.39669056899135, 'labor_cost': 219.47961357745953, 'project_duration': 56.9800587478218, 'material_cost': 74.49416744007165, 'carbon_emission': 41.99226211297829, 'quality_index': 3.8997162641334535}"
13,UrbanLarge,Traditional,7.386647648588681,"{'transport_cost': 210.1795113364783, 'labor_cost': 156.31365101965923, 'project_duration': 68.87110991996349, 'material_cost': 314.8274317904021, 'carbon_emission': 120.60297027026314, 'quality_index': 3.0156303602407797}"
13,SuburbanSmall,OSC,37.018923699549596,"{'transport_cost': 260.20635125414475, 'labor_cost': 366.6768033150966, 'project_duration': 74.32611663445431, 'material_cost': 368.8175271820196, 'carbon_emission': 61.299816745315184, 'quality_index': 6.331537206296169}"
13,SuburbanSmall,Traditional,0.4851158294280955,"{'transport_cost': 244.66140710413194, 'labor_cost': 341.69622033691064, 'project_duration': 100.84650089718816, 'material_cost': 295.0308554142743, 'carbon_emission': 290.2044833723791, 'quality_index': 1.3249176616851437}"
14,UrbanLarge,OSC,15.126323826380474,"{'transport_cost': 81.13795749576045, 'labor_cost': 164.10233117093387, 'project_duration': 51.28427877612635, 'material_cost': 298.62626382099677, 'carbon_emission': 64.90733723939894, 'quality_index': 2.6355730357059883}"
14,UrbanLarge,Traditional,17.364835465677753,"{'transport_cost': 217.46626228937828, 'labor_cost': 395.8850890960555, 'project_duration': 47.97668815181028, 'material_cost': 235.14006552799208, 'carbon_emission': 299.59473456347104, 'quality_index': 6.975481251973805}"
14,SuburbanSmall,OSC,46.38869146194775,"{'transport_cost': 226.6452770400474, 'labor_cost': 203.97640041169348, 'project_duration': 107.9508320752062, 'material_cost': 144.45921681706253, 'carbon_emission': 23.23073089610185, 'quality_index': 7.814705396545688}"
14,SuburbanSmall,Traditional,19.22491146137204,"{'transport_cost': 296.3337562631412, 'labor_cost': 249.0250846226407, 'project_duration': 47.96569749429336, 'material_cost': 435.7240121285607, 'carbon_emission': 315.7162590806246, 'quality_index': 7.678709762507061}"
15,UrbanLarge,OSC,55.545791788528895,"{'transport_cost': 113.67610121860359, 'labor_cost': 290.1327238146538, 'project_duration': 116.86735291234814, 'material_cost': 233.03854496470666, 'carbon_emission': 66.45099229241774, 'quality_index': 9.383768610553828}"
15,UrbanLarge,Traditional,0.19907818103792563,"{'transport_cost': 86.87486891371405, 'labor_cost': 246.2121902663726, 'project_duration': 70.23282845913252, 'material_cost': 459.5221799789842, 'carbon_emission': 281.1230328981786, 'quality_index': 1.1795715564863642}"
15,SuburbanSmall,OSC,8.027715742587542,"{'transport_cost': 281.4873354756496, 'labor_cost': 373.93426009272616, 'project_duration': 118.50530327495123, 'material_cost': 383.6340809144997, 'carbon_emission': 34.3450171447028, 'quality_index': 1.4820241021054956}"
15,SuburbanSmall,Traditional,18.331022822307975,"{'transport_cost': 292.1100619707172, 'labor_cost': 190.22095448744867, 'project_duration': 97.28529454952734, 'material_cost': 243.76340509754414, 'carbon_emission': 193.7436307458931, 'quality_index': 6.917507359156904}"
16,UrbanLarge,OSC,14.902353834925293,"{'transport_cost': 272.28666640353094, 'labor_cost': 326.080279121344, 'project_duration': 73.35446093116836, 'material_cost': 349.4168584868431, 'carbon_emission': 70.55762579053524, 'quality_index': 2.6478329722031857}"
16,UrbanLarge,Traditional,1.8403536641364389,"{'transport_cost': 133.7395322269498, 'labor_cost': 288.2448455092741, 'project_duration': 60.59533202522407, 'material_cost': 471.6121380407005, 'carbon_emission': 159.87968815009881, 'quality_index': 1.3449605187184588}"
16,SuburbanSmall,OSC,45.238099040133115,"{'transport_cost': 266.17177032989713, 'labor_cost': 287.8236730303304, 'project_duration': 117.90032723434986, 'material_cost': 341.09000410377166, 'carbon_emission': 77.91211591128688, 'quality_index': 7.704063875222037}"
16,SuburbanSmall,Traditional,10.860799597189516,"{'transport_cost': 119.15960074544181, 'labor_cost': 311.62275510837117, 'project_duration': 30.732567224993925, 'material_cost': 392.1886926184106, 'carbon_emission': 278.1743128501281, 'quality_index': 4.730396697112982}"
17,UrbanLarge,OSC,48.32772878005441,"{'transport_cost': 101.7245142844118, 'labor_cost': 231.77559186556346, 'project_duration': 75.59367420881597, 'material_cost': 239.8501024463296, 'carbon_emission': 69.87006373861982, 'quality_index': 8.176552095190841}"
17,UrbanLarge,Traditional,3.190941247631786,"{'transport_cost': 247.89297474565114, 'labor_cost': 304.2456861586847, 'project_duration': 38.83571509508356, 'material_cost': 245.10197699308725, 'carbon_emission': 119.50088620461794, 'quality_index': 1.6391479560920827}"
17,SuburbanSmall,OSC,29.99417941143685,"{'transport_cost': 97.07275789414538, 'labor_cost': 341.141750441181, 'project_duration': 102.85639317973859, 'material_cost': 195.12129268811896, 'carbon_emission': 42.40572566103835, 'quality_index': 5.104738651181834}"
17,SuburbanSmall,Traditional,5.461099155171962,"{'transport_cost': 164.47783391008784, 'labor_cost': 180.84047685480186, 'project_duration': 59.09725168143912, 'material_cost': 368.33063768552347, 'carbon_emission': 212.3839460175045, 'quality_index': 2.686901526993539}"
18,UrbanLarge,OSC,9.968136363245362,"{'transport_cost': 117.21912407371059, 'labor_cost': 375.4319705154, 'project_duration': 32.31199778998291, 'material_cost': 102.33692301233158, 'carbon_emission': 57.73575854683587, 'quality_index': 1.7755789723967506}"
18,UrbanLarge,Traditional,24.39794473685954,"{'transport_cost': 150.47233240251882, 'labor_cost': 362.83808570909287, 'project_duration': 67.70651204844896, 'material_cost': 505.5068048087231, 'carbon_emission': 231.5901174202716, 'quality_index': 9.131019131003049}"
18,SuburbanSmall,OSC,55.077177823424506,"{'transport_cost': 84.60070105134514, 'labor_cost': 218.11474176012786, 'project_duration': 69.45038836544623, 'material_cost': 379.8425475456063, 'carbon_emission': 48.898189048705696, 'quality_index': 9.296117904817681}"
18,SuburbanSmall,Traditional,17.339163588811058,"{'transport_cost': 129.4879055855491, 'labor_cost': 381.9920189896072, 'project_duration': 106.50013191759076, 'material_cost': 236.4984942396262, 'carbon_emission': 215.82833786040766, 'quality_index': 6.665366415541662}"
19,UrbanLarge,OSC,17.49329602623474,"{'transport_cost': 201.1140268855943, 'labor_cost': 240.66639171079993, 'project_duration': 93.23251191856467, 'material_cost': 145.7361719515966, 'carbon_emission': 25.362210192527055, 'quality_index': 3.0019641340382286}"
19,UrbanLarge,Traditional,8.538459701814986,"{'transport_cost': 234.41584027658774, 'labor_cost': 341.9916361857149, 'project_duration': 97.92135382332322, 'material_cost': 496.63170526541177, 'carbon_emission': 276.65526550920526, 'quality_index': 4.006790603797394}"
19,SuburbanSmall,OSC,25.838910793876536,"{'transport_cost': 114.94212053682783, 'labor_cost': 307.93064532267795, 'project_duration': 68.89381209268456, 'material_cost': 152.96812639150755, 'carbon_emission': 79.0386784555177, 'quality_index': 4.436333019053578}"
19,SuburbanSmall,Traditional,8.16671324200431,"{'transport_cost': 264.7945579802217, 'labor_cost': 302.50726174814076, 'project_duration': 114.14870055738211, 'material_cost': 308.39005168483953, 'carbon_emission': 215.2616056081237, 'quality_index': 3.6343746263425603}"
20,UrbanLarge,OSC,39.53735329682769,"{'transport_cost': 96.63816642016943, 'labor_cost': 186.39327493587203, 'project_duration': 39.822508003921776, 'material_cost': 347.83245792717474, 'carbon_emission': 79.33023092800782, 'quality_index': 6.725763397387201}"
20,UrbanLarge,Traditional,4.285529375540957,"{'transport_cost': 289.12485115417223, 'labor_cost': 290.1223217615541, 'project_duration': 83.83776397021585, 'material_cost': 372.2391218288748, 'carbon_emission': 279.05859503254607, 'quality_index': 2.570146507454273}"
20,SuburbanSmall,OSC,7.915799869086605,"{'transport_cost': 135.2181617050702, 'labor_cost': 247.85638998093086, 'project_duration': 67.07117208623154, 'material_cost': 368.6330392129469, 'carbon_emission': 53.69502147170763, 'quality_index': 1.4475688950629626}"
20,SuburbanSmall,Traditional,23.474800810194836,"{'transport_cost': 213.7396902383007, 'labor_cost': 211.0970520826026, 'project_duration': 104.41446131325559, 'material_cost': 595.087819484293, 'carbon_emission': 221.22217952439573, 'quality_index': 8.788990771102974}"
21,UrbanLarge,OSC,15.89289378887556,"{'transport_cost': 186.5329992824261, 'labor_cost': 383.2151055087859, 'project_duration': 62.294453594649084, 'material_cost': 225.19180397033008, 'carbon_emission': 24.173377476204276, 'quality_index': 2.7572867692384904}"
21,UrbanLarge,Traditional,26.036708028000835,"{'transport_cost': 286.1067906082724, 'labor_cost': 360.7671074786788, 'project_duration': 58.15713114250491, 'material_cost': 222.35163969289528, 'carbon_emission': 207.1006884674752, 'quality_index': 9.562399534842939}"
21,SuburbanSmall,OSC,41.61423264142617,"{'transport_cost': 129.43859234807823, 'labor_cost': 244.27304773518392, 'project_duration': 56.25305998804721, 'material_cost': 340.66961222073303, 'carbon_emission': 79.2307092036177, 'quality_index': 7.081106725941154}"
21,SuburbanSmall,Traditional,11.445023471336256,"{'transport_cost': 274.49238177452844, 'labor_cost': 265.00414728885187, 'project_duration': 56.6407259871536, 'material_cost': 424.8431228789658, 'carbon_emission': 219.71897471041507, 'quality_index': 4.761702106578435}"
22,UrbanLarge,OSC,26.638716732204763,"{'transport_cost': 242.27904103474958, 'labor_cost': 161.14462709932243, 'project_duration': 83.88637294367658, 'material_cost': 263.708039622255, 'carbon_emission': 31.03866570220042, 'quality_index': 4.53977742209222}"
22,UrbanLarge,Traditional,21.95664359283398,"{'transport_cost': 67.29730443010641, 'labor_cost': 386.14117424460574, 'project_duration': 115.58169939037813, 'material_cost': 345.12724525334954, 'carbon_emission': 133.1851244756886, 'quality_index': 7.940290662292081}"
22,SuburbanSmall,OSC,33.98230458435379,"{'transport_cost': 217.56491703577151, 'labor_cost': 331.9877785071604, 'project_duration': 45.37017584895264, 'material_cost': 141.80608376391345, 'carbon_emission': 83.8353663012065, 'quality_index': 5.810397878121843}"
22,SuburbanSmall,Traditional,16.369212258371793,"{'transport_cost': 253.40383399933725, 'labor_cost': 358.4622043901957, 'project_duration': 114.60868541731422, 'material_cost': 644.9440259040282, 'carbon_emission': 265.1580730572334, 'quality_index': 6.61955545504661}"
23,UrbanLarge,OSC,47.937092775286416,"{'transport_cost': 163.78972206473736, 'labor_cost': 339.1130910066503, 'project_duration': 113.5502677358472, 'material_cost': 166.47625583432608, 'carbon_emission': 30.1458341818114, 'quality_index': 8.089012443133214}"
23,UrbanLarge,Traditional,25.403954777868034,"{'transport_cost': 209.76093491016113, 'labor_cost': 212.89066794152285, 'project_duration': 100.33913723543625, 'material_cost': 319.034105584696, 'carbon_emission': 234.97523177075988, 'quality_index': 9.416054744844406}"
23,SuburbanSmall,OSC,38.01524095068241,"{'transport_cost': 260.8639516730053, 'labor_cost': 274.0944260795097, 'project_duration': 30.961930763908516, 'material_cost': 94.37628667812984, 'carbon_emission': 59.884713219921736, 'quality_index': 6.455703493289297}"
23,SuburbanSmall,Traditional,6.7966992423240695,"{'transport_cost': 224.47926465308353, 'labor_cost': 172.575098401357, 'project_duration': 40.2111079952244, 'material_cost': 225.8663789334413, 'carbon_emission': 157.74024025953528, 'quality_index': 2.929794046526003}"
24,UrbanLarge,OSC,13.850694585656704,"{'transport_cost': 285.1879801591658, 'labor_cost': 388.79247750254376, 'project_duration': 113.36868876535259, 'material_cost': 332.5391927158674, 'carbon_emission': 27.438298487529828, 'quality_index': 2.4431498630576787}"
24,UrbanLarge,Traditional,22.3595561535456,"{'transport_cost': 274.5855691467416, 'labor_cost': 250.70732191137637, 'project_duration': 111.88988856101744, 'material_cost': 281.0917242957828, 'carbon_emission': 224.73608336649767, 'quality_index': 8.381502243593282}"
24,SuburbanSmall,OSC,19.81326573778977,"{'transport_cost': 269.7859375140671, 'labor_cost': 327.21202177719556, 'project_duration': 51.81908898135195, 'material_cost': 306.36812116201327, 'carbon_emission': 71.34536951249225, 'quality_index': 3.4620394398312917}"
24,SuburbanSmall,Traditional,6.942418832523625,"{'transport_cost': 126.48285459420964, 'labor_cost': 230.43779707766123, 'project_duration': 62.15023837920023, 'material_cost': 198.58486331780065, 'carbon_emission': 339.42138627936026, 'quality_index': 3.5689899017701143}"
25,UrbanLarge,OSC,47.16669924935564,"{'transport_cost': 278.1750325039726, 'labor_cost': 195.51110194874929, 'project_duration': 107.54874562641791, 'material_cost': 185.74128392413863, 'carbon_emission': 79.50211649742123, 'quality_index': 8.000638018460108}"
25,UrbanLarge,Traditional,23.13518491702192,"{'transport_cost': 67.78970605618088, 'labor_cost': 348.69594402697646, 'project_duration': 52.42602004717507, 'material_cost': 204.32874483126037, 'carbon_emission': 212.52972199764088, 'quality_index': 8.558119466758203}"
25,SuburbanSmall,OSC,18.60696530698451,"{'transport_cost': 130.71772711877918, 'labor_cost': 298.8453031937506, 'project_duration': 97.18576781875615, 'material_cost': 358.61975042796246, 'carbon_emission': 28.34314869808815, 'quality_index': 3.2123560396058797}"
25,SuburbanSmall,Traditional,17.250188995440908,"{'transport_cost': 103.92769610702504, 'labor_cost': 254.24382625577482, 'project_duration': 104.13444274023841, 'material_cost': 436.47221488485843, 'carbon_emission': 251.51643396513708, 'quality_index': 6.765038608863572}"
26,UrbanLarge,OSC,37.709013951453535,"{'transport_cost': 262.00670908687744, 'labor_cost': 152.87633424046166, 'project_duration': 116.14817023641089, 'material_cost': 193.11956710373846, 'carbon_emission': 52.19778683019923, 'quality_index': 6.395889659870875}"
26,UrbanLarge,Traditional,6.284915880744574,"{'transport_cost': 258.74784466384983, 'labor_cost': 304.2386027056767, 'project_duration': 78.35214307653206, 'material_cost': 400.5149031800328, 'carbon_emission': 181.54725421239635, 'quality_index': 2.914240885522748}"
26,SuburbanSmall,OSC,35.44763952916136,"{'transport_cost': 50.33833706792896, 'labor_cost': 391.9481762641276, 'project_duration': 111.26026416091787, 'material_cost': 184.6041238413801, 'carbon_emission': 86.44072005039094, 'quality_index': 6.0496283701437115}"
26,SuburbanSmall,Traditional,13.90569258850358,"{'transport_cost': 122.33758337479374, 'labor_cost': 233.56377771282501, 'project_duration': 46.86818199328614, 'material_cost': 314.4074998625024, 'carbon_emission': 148.3826667604848, 'quality_index': 5.2787972766917255}"
27,UrbanLarge,OSC,48.54276245137333,"{'transport_cost': 179.96378482599542, 'labor_cost': 269.2027971011329, 'project_duration': 67.23765542135573, 'material_cost': 83.74615244103232, 'carbon_emission': 67.37577411662818, 'quality_index': 8.205819413033652}"
27,UrbanLarge,Traditional,6.590264705552174,"{'transport_cost': 154.46735761298157, 'labor_cost': 225.9936318309705, 'project_duration': 109.71385888008327, 'material_cost': 575.7525862153732, 'carbon_emission': 187.7959728964724, 'quality_index': 3.0352333838743717}"
